id,provinsi,kabupaten_kota,nama_layanan,jenis_layanan,kategori,specialization,alamat,telepon,website,latitude,longitude,telemedicine,biaya_mulai,insurance_supported,rating,jam_buka,jam_tutup,hari_operasional,verified,photo_url,source,updated_at
1,Kalimantan Timur,Bantul,Puskesmas Bantul,Puskesmas,Konseling,Trauma,"Jl. Kesehatan No.4, Bantul",+628094436225,,-3.378745188201357,98.25499456615654,True,350000,"BPJS,Swasta",4.2,10:00,17:00,Senin-Minggu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
2,Maluku,Garut,RS Jiwa Garut,Rumah Sakit Jiwa,Psikiatri,Kesehatan Mental Remaja,"Jl. Kesehatan No.213, Garut",+628466613325,,4.469520494434164,120.63058955880153,False,250000,Swasta,4.2,8:00,21:00,Senin-Sabtu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
3,Sumatera Barat,Jakarta Utara,Puskesmas Jakarta Utara,Puskesmas,Konseling,Konseling Pernikahan,"Jl. Kesehatan No.96, Jakarta Utara",+628256338001,,-1.2439214696814833,98.84236547657841,True,50000,BPJS,4.8,8:00,22:00,Senin-Jumat,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
4,Papua,Sukabumi,Pusat Konseling Universitas Sukabumi,Universitas,Konseling,ADHD,"Jl. Kesehatan No.238, Sukabumi",+628129814760,,5.0258230539670485,127.18562037499413,True,500000,"BPJS,Swasta",3.7,10:00,21:00,Senin-Minggu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
5,Kepulauan Riau,Yogyakarta,RSUD Yogyakarta,Rumah Sakit,Psikiatri,Konseling Pernikahan,"Jl. Kesehatan No.153, Yogyakarta",+628458393285,,-10.111433328417235,96.77113294724364,False,500000,Swasta,4.6,10:00,18:00,Senin-Jumat,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
6,Kalimantan Timur,Denpasar,Pusat Konseling Universitas Denpasar,Universitas,Konseling,Trauma,"Jl. Kesehatan No.246, Denpasar",+628470163102,,1.8705769760668378,126.37194413910007,True,150000,"BPJS,Swasta",3.9,8:00,19:00,Senin-Minggu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
7,DI Yogyakarta,Gresik,Puskesmas Gresik,Puskesmas,Konseling,Depresi,"Jl. Kesehatan No.194, Gresik",+628568231700,,-0.8181440529423387,106.14036114293498,False,500000,"Mandiri,Swasta",4.5,10:00,22:00,Senin-Sabtu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
8,Nusa Tenggara Barat,Mataram,Puskesmas Mataram,Puskesmas,Konseling,Depresi,"Jl. Kesehatan No.186, Mataram",+628181423123,,0.02427396276998195,124.83420546294273,True,150000,Swasta,4.0,9:00,22:00,Senin-Sabtu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
9,Jawa Timur,Madiun,Pusat Konseling Universitas Madiun,Universitas,Konseling,Gangguan Mood,"Jl. Kesehatan No.131, Madiun",+628133399348,,2.044178775773913,125.61310910551666,True,500000,BPJS,3.2,10:00,21:00,Senin-Minggu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
10,Riau,Sleman,Pusat Konseling Universitas Sleman,Universitas,Konseling,Kecemasan,"Jl. Kesehatan No.11, Sleman",+628623857670,,-8.559021667568002,113.78593958159013,False,0,Mandiri,4.4,10:00,22:00,Senin-Minggu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
11,Kalimantan Barat,Tegal,Pusat Konseling Universitas Tegal,Universitas,Konseling,Depresi,"Jl. Kesehatan No.198, Tegal",+628709369219,,0.06240936492108773,101.90280383278048,True,0,BPJS,3.8,7:00,22:00,Senin-Sabtu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
12,Kepulauan Riau,Jakarta Utara,Klinik Psikologi Jakarta Utara,Klinik Psikologi,Psikolog,Terapi Keluarga,"Jl. Kesehatan No.88, Jakarta Utara",+628629429759,,-7.338198942121396,136.2674304819647,False,350000,Mandiri,3.6,8:00,20:00,Senin-Minggu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
13,Kalimantan Timur,Kendari,Puskesmas Kendari,Puskesmas,Konseling,Kesehatan Mental Remaja,"Jl. Kesehatan No.138, Kendari",+628179776756,,-1.9474872988959238,110.99753658825209,True,0,Swasta,4.0,10:00,22:00,Senin-Sabtu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
14,Kalimantan Utara,Samarinda,RSUD Samarinda,Rumah Sakit,Psikiatri,Burnout Kerja,"Jl. Kesehatan No.14, Samarinda",+628529121667,,0.20687969235388515,136.39965517599,True,250000,Swasta,4.4,10:00,18:00,Senin-Sabtu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
15,Sulawesi Selatan,Batam,Pusat Konseling Universitas Batam,Universitas,Konseling,Depresi,"Jl. Kesehatan No.234, Batam",+628463735023,,-10.041258497505273,133.7833758506797,True,0,"Mandiri,Swasta",3.3,7:00,17:00,Senin-Sabtu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
16,Bali,Padang,Puskesmas Padang,Puskesmas,Konseling,Konseling Pernikahan,"Jl. Kesehatan No.225, Padang",+628882675306,,0.3287998849323337,105.23057586278138,False,150000,Mandiri,4.8,8:00,21:00,Senin-Minggu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
17,Riau,Purwokerto,RSUD Purwokerto,Rumah Sakit,Psikiatri,Trauma,"Jl. Kesehatan No.243, Purwokerto",+628447800359,,-8.650749019964872,137.88222946472757,False,250000,Swasta,4.2,8:00,17:00,Senin-Minggu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
18,Sulawesi Tengah,Batam,Klinik Psikologi Batam,Klinik Psikologi,Psikolog,Gangguan Tidur,"Jl. Kesehatan No.248, Batam",+628641234557,,-6.847576106633436,105.03698276083827,True,0,"BPJS,Swasta",4.3,10:00,20:00,Senin-Minggu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
19,DI Yogyakarta,Bukittinggi,RS Jiwa Bukittinggi,Rumah Sakit Jiwa,Psikiatri,Depresi,"Jl. Kesehatan No.201, Bukittinggi",+628440183860,,-3.3663262459345287,98.25343372522111,False,500000,BPJS,3.8,7:00,20:00,Senin-Sabtu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
